drug	drug_category	target	entrezID	pharmacological_action
paliperidone	Atypical antipsychotics	HTR2C	3358	Yes
paliperidone	Atypical antipsychotics	HRH1	3269	Unknown
paliperidone	Atypical antipsychotics	ADRA1A	148	Unknown
paliperidone	Atypical antipsychotics	ADRA1B	147	Unknown
paliperidone	Atypical antipsychotics	HTR1D	3352	Unknown
paliperidone	Atypical antipsychotics	ADRA2A	150	Unknown
paliperidone	Atypical antipsychotics	ADRA2B	151	Unknown
paliperidone	Atypical antipsychotics	ADRA2C	152	Unknown
paliperidone	Atypical antipsychotics	HTR1A	3350	Unknown
paliperidone	Atypical antipsychotics	DRD1	1812	Unknown
paliperidone	Atypical antipsychotics	HTR7	3363	Unknown
pimavanserin	Atypical antipsychotics	HTR2A	3356	Yes
pimavanserin	Atypical antipsychotics	HTR2C	3358	Unknown
pimavanserin	Atypical antipsychotics	SIGMAR1	10280	Unknown
quetiapine	Atypical antipsychotics	HTR2A	3356	Yes
quetiapine	Atypical antipsychotics	DRD2	1813	Yes
quetiapine	Atypical antipsychotics	HTR1A	3350	Unknown
quetiapine	Atypical antipsychotics	HTR1B	3351	Unknown
quetiapine	Atypical antipsychotics	HTR1D	3352	Unknown
quetiapine	Atypical antipsychotics	HTR1E	3354	Unknown
quetiapine	Atypical antipsychotics	HTR2C	3358	Unknown
quetiapine	Atypical antipsychotics	HTR3A	3359	Unknown
quetiapine	Atypical antipsychotics	HTR6	3362	Unknown
quetiapine	Atypical antipsychotics	HTR7	3363	Unknown
quetiapine	Atypical antipsychotics	DRD1	1812	Unknown
quetiapine	Atypical antipsychotics	DRD3	1814	Unknown
quetiapine	Atypical antipsychotics	DRD4	1815	Unknown
quetiapine	Atypical antipsychotics	DRD5	1816	Unknown
quetiapine	Atypical antipsychotics	HRH1	3269	Unknown
quetiapine	Atypical antipsychotics	ADRA1A	148	Unknown
quetiapine	Atypical antipsychotics	ADRA1B	147	Unknown
quetiapine	Atypical antipsychotics	ADRA1D	146	Unknown
quetiapine	Atypical antipsychotics	ADRA2A	150	Unknown
quetiapine	Atypical antipsychotics	ADRA2B	151	Unknown
quetiapine	Atypical antipsychotics	ADRA2C	152	Unknown
quetiapine	Atypical antipsychotics	CHRM1	1128	Unknown
quetiapine	Atypical antipsychotics	CHRM2	1129	Unknown
quetiapine	Atypical antipsychotics	CHRM3	1131	Unknown
quetiapine	Atypical antipsychotics	CHRM4	1132	Unknown
quetiapine	Atypical antipsychotics	CHRM5	1133	Unknown
risperidone	Atypical antipsychotics	HTR2A	3356	Yes
risperidone	Atypical antipsychotics	DRD2	1813	Yes
risperidone	Atypical antipsychotics	ADRA1B	147	Unknown
risperidone	Atypical antipsychotics	ADRA2B	151	Unknown
risperidone	Atypical antipsychotics	ADRA1A	148	Unknown
risperidone	Atypical antipsychotics	ADRA2C	152	Unknown
risperidone	Atypical antipsychotics	HRH1	3269	Unknown
risperidone	Atypical antipsychotics	HTR2C	3358	Unknown
risperidone	Atypical antipsychotics	HTR1A	3350	Unknown
risperidone	Atypical antipsychotics	HTR1D	3352	Unknown
risperidone	Atypical antipsychotics	HTR7	3363	Unknown
risperidone	Atypical antipsychotics	DRD1	1812	Unknown
ziprasidone	Atypical antipsychotics	HTR2A	3356	Yes
ziprasidone	Atypical antipsychotics	DRD2	1813	Yes
ziprasidone	Atypical antipsychotics	HTR1A	3350	Yes
ziprasidone	Atypical antipsychotics	HTR1D	3352	Yes
ziprasidone	Atypical antipsychotics	HTR2C	3358	Yes
ziprasidone	Atypical antipsychotics	DRD1	1812	Unknown
ziprasidone	Atypical antipsychotics	DRD3	1814	Unknown
ziprasidone	Atypical antipsychotics	DRD4	1815	Unknown
ziprasidone	Atypical antipsychotics	DRD5	1816	Unknown
ziprasidone	Atypical antipsychotics	HTR1B	3351	Unknown
ziprasidone	Atypical antipsychotics	HTR1E	3354	Unknown
ziprasidone	Atypical antipsychotics	HTR6	3362	Unknown
ziprasidone	Atypical antipsychotics	HTR7	3363	Unknown
ziprasidone	Atypical antipsychotics	HRH1	3269	Unknown
ziprasidone	Atypical antipsychotics	ADRA1A	148	Unknown
ziprasidone	Atypical antipsychotics	ADRA1B	147	Unknown
ziprasidone	Atypical antipsychotics	ADRA2A	150	Unknown
ziprasidone	Atypical antipsychotics	ADRA2B	151	Unknown
ziprasidone	Atypical antipsychotics	ADRA2C	152	Unknown
ziprasidone	Atypical antipsychotics	CHRM1	1128	Unknown
ziprasidone	Atypical antipsychotics	CHRM2	1129	Unknown
ziprasidone	Atypical antipsychotics	CHRM3	1131	Unknown
ziprasidone	Atypical antipsychotics	CHRM4	1132	Unknown
ziprasidone	Atypical antipsychotics	CHRM5	1133	Unknown
ziprasidone	Atypical antipsychotics	HTR3A	3359	Unknown
ziprasidone	Atypical antipsychotics	HTR3B	9177	Unknown
ziprasidone	Atypical antipsychotics	HTR3C	170572	Unknown
ziprasidone	Atypical antipsychotics	HTR3D	200909	Unknown
ziprasidone	Atypical antipsychotics	HTR3E	285242	Unknown
ziprasidone	Atypical antipsychotics	HTR5A	3361	Unknown
lumateperone	Atypical antipsychotics	SLC6A4	6532	Yes
lumateperone	Atypical antipsychotics	GRIN2B	2904	Yes
lumateperone	Atypical antipsychotics	HTR2A	3356	Yes
lumateperone	Atypical antipsychotics	DRD2	1813	Yes
lumateperone	Atypical antipsychotics	DRD1	1812	Unknown
brexpiprazole	Serotonine-dopamine modulators	HTR1A	3350	Unknown
brexpiprazole	Serotonine-dopamine modulators	DRD2	1813	Unknown
brexpiprazole	Serotonine-dopamine modulators	DRD3	1814	Unknown
brexpiprazole	Serotonine-dopamine modulators	HTR2A	3356	Unknown
brexpiprazole	Serotonine-dopamine modulators	HTR2B	3357	Unknown
brexpiprazole	Serotonine-dopamine modulators	HTR7	3363	Unknown
brexpiprazole	Serotonine-dopamine modulators	ADRA1A	148	Unknown
brexpiprazole	Serotonine-dopamine modulators	ADRA1B	147	Unknown
brexpiprazole	Serotonine-dopamine modulators	ADRA1D	146	Unknown
brexpiprazole	Serotonine-dopamine modulators	ADRA2C	152	Unknown
brexpiprazole	Serotonine-dopamine modulators	HRH1	3269	Unknown
brexpiprazole	Serotonine-dopamine modulators	CHRM1	1128	Unknown
loxapine	Tricyclic antipsychotic	HTR2A	3356	Yes
loxapine	Tricyclic antipsychotic	DRD2	1813	Yes
loxapine	Tricyclic antipsychotic	HTR2C	3358	Unknown
loxapine	Tricyclic antipsychotic	HTR1A	3350	Unknown
loxapine	Tricyclic antipsychotic	HTR1B	3351	Unknown
loxapine	Tricyclic antipsychotic	HTR1D	3352	Unknown
loxapine	Tricyclic antipsychotic	HTR1E	3354	Unknown
loxapine	Tricyclic antipsychotic	HTR3A	3359	Unknown
loxapine	Tricyclic antipsychotic	HTR5A	3361	Unknown
loxapine	Tricyclic antipsychotic	HTR6	3362	Unknown
loxapine	Tricyclic antipsychotic	HTR7	3363	Unknown
loxapine	Tricyclic antipsychotic	ADRA1A	148	Unknown
loxapine	Tricyclic antipsychotic	ADRA1B	147	Unknown
loxapine	Tricyclic antipsychotic	ADRA2A	150	Unknown
loxapine	Tricyclic antipsychotic	ADRA2B	151	Unknown
loxapine	Tricyclic antipsychotic	ADRA2C	152	Unknown
loxapine	Tricyclic antipsychotic	ADRB1	153	Unknown
loxapine	Tricyclic antipsychotic	CHRM1	1128	Unknown
loxapine	Tricyclic antipsychotic	CHRM2	1129	Unknown
loxapine	Tricyclic antipsychotic	CHRM3	1131	Unknown
loxapine	Tricyclic antipsychotic	CHRM4	1132	Unknown
loxapine	Tricyclic antipsychotic	CHRM5	1133	Unknown
loxapine	Tricyclic antipsychotic	DRD1	1812	Unknown
loxapine	Tricyclic antipsychotic	DRD3	1814	Unknown
loxapine	Tricyclic antipsychotic	DRD4	1815	Unknown
loxapine	Tricyclic antipsychotic	DRD5	1816	Unknown
loxapine	Tricyclic antipsychotic	HRH1	3269	Unknown
loxapine	Tricyclic antipsychotic	HRH2	3274	Unknown
loxapine	Tricyclic antipsychotic	HRH4	59340	Unknown
loxapine	Tricyclic antipsychotic	SLC6A2	6530	Unknown
loxapine	Tricyclic antipsychotic	SLC6A4	6532	Unknown
loxapine	Tricyclic antipsychotic	SLC6A3	6531	Unknown
chlorpromazine	Typical antipsychotics	DRD2	1813	Yes
chlorpromazine	Typical antipsychotics	DRD1	1812	Yes
chlorpromazine	Typical antipsychotics	HTR1A	3350	Yes
chlorpromazine	Typical antipsychotics	HTR2A	3356	Yes
chlorpromazine	Typical antipsychotics	ADRA1A	148	Yes
chlorpromazine	Typical antipsychotics	ADRA1B	147	Yes
chlorpromazine	Typical antipsychotics	HRH1	3269	Yes
chlorpromazine	Typical antipsychotics	KCNH2	3757	Unknown
chlorpromazine	Typical antipsychotics	DRD3	1814	Unknown
chlorpromazine	Typical antipsychotics	DRD4	1815	Unknown
chlorpromazine	Typical antipsychotics	DRD5	1816	Unknown
chlorpromazine	Typical antipsychotics	HTR2B	3357	Unknown
chlorpromazine	Typical antipsychotics	HTR2C	3358	Unknown
chlorpromazine	Typical antipsychotics	ADRA1D	146	Unknown
chlorpromazine	Typical antipsychotics	ADRA2A	150	Unknown
chlorpromazine	Typical antipsychotics	ADRA2B	151	Unknown
chlorpromazine	Typical antipsychotics	ADRA2C	152	Unknown
chlorpromazine	Typical antipsychotics	CHRM1	1128	Unknown
chlorpromazine	Typical antipsychotics	CHRM3	1131	Unknown
chlorpromazine	Typical antipsychotics	SMPD1	6609	Unknown
chlorpromazine	Typical antipsychotics	CALM1	801	Unknown
chlorpromazine	Typical antipsychotics	ORM1	5004	Unknown
chlorpromazine	Typical antipsychotics	ORM2	5005	Unknown
chlorpromazine	Typical antipsychotics	HTR6	3362	Unknown
chlorpromazine	Typical antipsychotics	HTR7	3363	Unknown
chlorpromazine	Typical antipsychotics	HRH4	59340	Unknown
fluphenazine	Typical antipsychotics	DRD2	1813	Yes
fluphenazine	Typical antipsychotics	DRD1	1812	Yes
fluphenazine	Typical antipsychotics	CALM1	801	Unknown
fluphenazine	Typical antipsychotics	AR	367	Unknown
fluphenazine	Typical antipsychotics	HTR2A	3356	Unknown
fluphenazine	Typical antipsychotics	HTR2C	3358	Unknown
haloperidol	Typical antipsychotics	HTR2C	3358	Yes
haloperidol	Typical antipsychotics	DRD2	1813	Yes
haloperidol	Typical antipsychotics	HTR2A	3356	Unknown
haloperidol	Typical antipsychotics	DRD3	1814	Unknown
haloperidol	Typical antipsychotics	MCHR1	2847	Unknown
haloperidol	Typical antipsychotics	SLC18A2	6571	Unknown
haloperidol	Typical antipsychotics	SIGMAR1	10280	Unknown
haloperidol	Typical antipsychotics	HRH1	3269	Unknown
haloperidol	Typical antipsychotics	CHRM3	1131	Unknown
haloperidol	Typical antipsychotics	ADRA1A	148	Unknown
haloperidol	Typical antipsychotics	ADRA2A	150	Unknown
haloperidol	Typical antipsychotics	ADRA2B	151	Unknown
haloperidol	Typical antipsychotics	ADRA2C	152	Unknown
haloperidol	Typical antipsychotics	HTR1A	3350	Unknown
haloperidol	Typical antipsychotics	HTR6	3362	Unknown
haloperidol	Typical antipsychotics	HTR7	3363	Unknown
haloperidol	Typical antipsychotics	GRIN2B	2904	Unknown
haloperidol	Typical antipsychotics	DRD1	1812	Unknown
perphenazine	Typical antipsychotics	DRD1	1812	Yes
perphenazine	Typical antipsychotics	DRD2	1813	Yes
perphenazine	Typical antipsychotics	CALM1	801	Unknown
thiothixene	Typical antipsychotics	DRD1	1812	Yes
thiothixene	Typical antipsychotics	DRD2	1813	Yes
thiothixene	Typical antipsychotics	HTR2A	3356	Unknown
trifluoperazine	Typical antipsychotics	DRD2	1813	Yes
trifluoperazine	Typical antipsychotics	ADRA1A	148	Yes
trifluoperazine	Typical antipsychotics	CALY	50632	Yes
trifluoperazine	Typical antipsychotics	CALM1	801	Unknown
trifluoperazine	Typical antipsychotics	TNNC1	7134	Unknown
trifluoperazine	Typical antipsychotics	S100A4	6275	Unknown
