canonical_pathway	pvalue_adj	sig
BIOCARTA_EIF4_PATHWAY	1	0
BIOCARTA_EIF_PATHWAY	1	0
BIOCARTA_EOSINOPHILS_PATHWAY	1	0
BIOCARTA_EPHA4_PATHWAY	1	0
BIOCARTA_EPONFKB_PATHWAY	1	0
BIOCARTA_EPO_PATHWAY	1	0
BIOCARTA_ERAD_PATHWAY	1	0
BIOCARTA_ERBB3_PATHWAY	1	0
BIOCARTA_ERBB4_PATHWAY	1	0
BIOCARTA_ERK5_PATHWAY	1	0
BIOCARTA_ERK_PATHWAY	1	0
BIOCARTA_ERYTH_PATHWAY	1	0
BIOCARTA_ETC_PATHWAY	1	0
BIOCARTA_ETS_PATHWAY	1	0
BIOCARTA_EXTRINSIC_PATHWAY	1	0
BIOCARTA_FAS_PATHWAY	1	0
BIOCARTA_FBW7_PATHWAY	1	0
BIOCARTA_FCER1_PATHWAY	1	0
BIOCARTA_FEEDER_PATHWAY	1	0
BIOCARTA_FIBRINOLYSIS_PATHWAY	1	0
BIOCARTA_FLUMAZENIL_PATHWAY	1	0
BIOCARTA_FMLP_PATHWAY	0	1
BIOCARTA_FOSB_PATHWAY	1	0
BIOCARTA_FREE_PATHWAY	1	0
BIOCARTA_FXR_PATHWAY	1	0
BIOCARTA_G1_PATHWAY	1	0
BIOCARTA_G2_PATHWAY	1	0
BIOCARTA_GABA_PATHWAY	1	0
BIOCARTA_GATA3_PATHWAY	1	0
BIOCARTA_GCR_PATHWAY	1	0
BIOCARTA_GHRELIN_PATHWAY	1	0
BIOCARTA_GH_PATHWAY	1	0
BIOCARTA_GLEEVEC_PATHWAY	1	0
BIOCARTA_GPCR_PATHWAY	1	0
BIOCARTA_GRANULOCYTES_PATHWAY	1	0
BIOCARTA_GSK3_PATHWAY	1	0
BIOCARTA_HBX_PATHWAY	1	0
BIOCARTA_HCMV_PATHWAY	1	0
BIOCARTA_HDAC_PATHWAY	1	0
BIOCARTA_HER2_PATHWAY	1	0
BIOCARTA_HES_PATHWAY	1	0
BIOCARTA_HIF_PATHWAY	1	0
BIOCARTA_HIVNEF_PATHWAY	1	0
BIOCARTA_HSP27_PATHWAY	1	0
BIOCARTA_HSWI_SNF_PATHWAY	1	0
BIOCARTA_IFNA_PATHWAY	1	0
BIOCARTA_IFNG_PATHWAY	1	0
BIOCARTA_IGF1MTOR_PATHWAY	1	0
BIOCARTA_IGF1R_PATHWAY	1	0
BIOCARTA_IGF1_PATHWAY	1	0
BIOCARTA_IL10_PATHWAY	1	0
BIOCARTA_IL12_PATHWAY	1	0
BIOCARTA_IL17_PATHWAY	1	0
BIOCARTA_IL1R_PATHWAY	1	0
BIOCARTA_IL22BP_PATHWAY	1	0
BIOCARTA_IL2RB_PATHWAY	1	0
BIOCARTA_IL2_PATHWAY	1	0
BIOCARTA_IL3_PATHWAY	1	0
BIOCARTA_IL4_PATHWAY	1	0
BIOCARTA_IL5_PATHWAY	1	0
BIOCARTA_IL6_PATHWAY	1	0
BIOCARTA_IL7_PATHWAY	1	0
BIOCARTA_INFLAM_PATHWAY	1	0
BIOCARTA_INSULIN_PATHWAY	1	0
BIOCARTA_INTEGRIN_PATHWAY	1	0
BIOCARTA_INTRINSIC_PATHWAY	1	0
BIOCARTA_ION_PATHWAY	1	0
BIOCARTA_IRES_PATHWAY	1	0
BIOCARTA_KERATINOCYTE_PATHWAY	1	0
BIOCARTA_KREB_PATHWAY	1	0
BIOCARTA_LAIR_PATHWAY	1	0
BIOCARTA_LDL_PATHWAY	1	0
BIOCARTA_LECTIN_PATHWAY	1	0
BIOCARTA_LEPTIN_PATHWAY	1	0
BIOCARTA_LIS1_PATHWAY	1	0
BIOCARTA_LONGEVITY_PATHWAY	1	0
BIOCARTA_LYMPHOCYTE_PATHWAY	1	0
BIOCARTA_LYM_PATHWAY	1	0
BIOCARTA_MALATEX_PATHWAY	1	0
BIOCARTA_MAL_PATHWAY	1	0
BIOCARTA_MAPK_PATHWAY	1	0
BIOCARTA_MCALPAIN_PATHWAY	1	0
BIOCARTA_MCM_PATHWAY	1	0
BIOCARTA_MEF2D_PATHWAY	1	0
BIOCARTA_MELANOCYTE_PATHWAY	1	0
BIOCARTA_MET_PATHWAY	1	0
BIOCARTA_MHC_PATHWAY	1	0
BIOCARTA_MITOCHONDRIA_PATHWAY	1	0
BIOCARTA_MITR_PATHWAY	1	0
BIOCARTA_MONOCYTE_PATHWAY	1	0
BIOCARTA_MPR_PATHWAY	1	0
BIOCARTA_MRP_PATHWAY	1	0
BIOCARTA_MSP_PATHWAY	1	0
BIOCARTA_MTA3_PATHWAY	1	0
BIOCARTA_MTOR_PATHWAY	1	0
BIOCARTA_MYOSIN_PATHWAY	1	0
BIOCARTA_NDKDYNAMIN_PATHWAY	1	0
BIOCARTA_NEUTROPHIL_PATHWAY	1	0
BIOCARTA_NFAT_PATHWAY	1	0
BIOCARTA_NFKB_PATHWAY	1	0
BIOCARTA_NGF_PATHWAY	1	0
BIOCARTA_NKCELLS_PATHWAY	1	0
BIOCARTA_NKT_PATHWAY	1	0
BIOCARTA_NO1_PATHWAY	1	0
BIOCARTA_NO2IL12_PATHWAY	1	0
BIOCARTA_NOS1_PATHWAY	1	0
BIOCARTA_NOTCH_PATHWAY	1	0
BIOCARTA_NPC_PATHWAY	1	0
BIOCARTA_NPP1_PATHWAY	1	0
BIOCARTA_NTHI_PATHWAY	1	0
BIOCARTA_NUCLEARRS_PATHWAY	1	0
BIOCARTA_P27_PATHWAY	1	0
BIOCARTA_P35ALZHEIMERS_PATHWAY	1	0
BIOCARTA_P38MAPK_PATHWAY	1	0
BIOCARTA_P53HYPOXIA_PATHWAY	1	0
BIOCARTA_P53_PATHWAY	1	0
BIOCARTA_PAR1_PATHWAY	1	0
BIOCARTA_PARKIN_PATHWAY	1	0
BIOCARTA_PCAF_PATHWAY	1	0
BIOCARTA_PDGF_PATHWAY	1	0
BIOCARTA_PDZS_PATHWAY	1	0
BIOCARTA_PELP1_PATHWAY	1	0
BIOCARTA_PEPI_PATHWAY	1	0
BIOCARTA_PGC1A_PATHWAY	1	0
BIOCARTA_PITX2_PATHWAY	1	0
BIOCARTA_PKC_PATHWAY	1	0
BIOCARTA_PLATELETAPP_PATHWAY	1	0
BIOCARTA_PLCD_PATHWAY	0	1
BIOCARTA_PLCE_PATHWAY	1	0
BIOCARTA_PLC_PATHWAY	1	0
BIOCARTA_PLK3_PATHWAY	1	0
BIOCARTA_PML_PATHWAY	1	0
BIOCARTA_PPARA_PATHWAY	1	0
BIOCARTA_PPARG_PATHWAY	1	0
BIOCARTA_PRC2_PATHWAY	1	0
BIOCARTA_PRION_PATHWAY	1	0
BIOCARTA_PROTEASOME_PATHWAY	1	0
BIOCARTA_PS1_PATHWAY	1	0
BIOCARTA_PTC1_PATHWAY	1	0
BIOCARTA_PTDINS_PATHWAY	1	0
BIOCARTA_PTEN_PATHWAY	1	0
BIOCARTA_PYK2_PATHWAY	1	0
BIOCARTA_RAB_PATHWAY	1	0
BIOCARTA_RAC1_PATHWAY	1	0
BIOCARTA_RACCYCD_PATHWAY	1	0
BIOCARTA_RACC_PATHWAY	1	0
BIOCARTA_RANBP2_PATHWAY	1	0
BIOCARTA_RANKL_PATHWAY	1	0
BIOCARTA_RANMS_PATHWAY	1	0
BIOCARTA_RAN_PATHWAY	1	0
BIOCARTA_RARRXR_PATHWAY	1	0
BIOCARTA_RAS_PATHWAY	1	0
BIOCARTA_RB_PATHWAY	1	0
BIOCARTA_RECK_PATHWAY	1	0
BIOCARTA_REELIN_PATHWAY	1	0
BIOCARTA_RELA_PATHWAY	1	0
BIOCARTA_RHODOPSIN_PATHWAY	1	0
BIOCARTA_RHO_PATHWAY	1	0
BIOCARTA_RNAPOL3_PATHWAY	1	0
BIOCARTA_RNA_PATHWAY	1	0
BIOCARTA_S1P_PATHWAY	1	0
BIOCARTA_SALMONELLA_PATHWAY	1	0
BIOCARTA_SAM68_PATHWAY	1	0
BIOCARTA_SARS_PATHWAY	1	0
BIOCARTA_SET_PATHWAY	1	0
BIOCARTA_SHH_PATHWAY	0	1
BIOCARTA_SKP2E2F_PATHWAY	1	0
BIOCARTA_SLRP_PATHWAY	1	0
BIOCARTA_SM_PATHWAY	1	0
BIOCARTA_SODD_PATHWAY	1	0
BIOCARTA_SPPA_PATHWAY	1	0
BIOCARTA_SPRY_PATHWAY	1	0
BIOCARTA_SRCRPTP_PATHWAY	1	0
BIOCARTA_STAT3_PATHWAY	1	0
BIOCARTA_STATHMIN_PATHWAY	1	0
BIOCARTA_STEM_PATHWAY	1	0
BIOCARTA_STRESS_PATHWAY	1	0
BIOCARTA_SUMO_PATHWAY	1	0
BIOCARTA_TALL1_PATHWAY	1	0
BIOCARTA_TCAPOPTOSIS_PATHWAY	1	0
BIOCARTA_TCRA_PATHWAY	1	0
BIOCARTA_TCR_PATHWAY	1	0
BIOCARTA_TCYTOTOXIC_PATHWAY	1	0
BIOCARTA_TEL_PATHWAY	1	0
BIOCARTA_TERC_PATHWAY	1	0
BIOCARTA_TERT_PATHWAY	1	0
BIOCARTA_TFF_PATHWAY	1	0
BIOCARTA_TGFB_PATHWAY	1	0
BIOCARTA_TH1TH2_PATHWAY	1	0
BIOCARTA_THELPER_PATHWAY	1	0
BIOCARTA_TID_PATHWAY	1	0
BIOCARTA_TNFR1_PATHWAY	1	0
BIOCARTA_TNFR2_PATHWAY	1	0
BIOCARTA_TOB1_PATHWAY	1	0
BIOCARTA_TOLL_PATHWAY	1	0
BIOCARTA_TPO_PATHWAY	1	0
BIOCARTA_TRKA_PATHWAY	1	0
BIOCARTA_TSP1_PATHWAY	1	0
BIOCARTA_TUBBY_PATHWAY	1	0
BIOCARTA_UCALPAIN_PATHWAY	1	0
BIOCARTA_VDR_PATHWAY	1	0
BIOCARTA_VEGF_PATHWAY	1	0
BIOCARTA_VIP_PATHWAY	1	0
BIOCARTA_VITCB_PATHWAY	1	0
BIOCARTA_VOBESITY_PATHWAY	1	0
BIOCARTA_WNT_LRP6_PATHWAY	1	0
BIOCARTA_WNT_PATHWAY	1	0
KEGG_ABC_TRANSPORTERS	1	0
KEGG_ACUTE_MYELOID_LEUKEMIA	1	0
KEGG_ADHERENS_JUNCTION	1	0
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1	0
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1	0
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	1	0
KEGG_ALLOGRAFT_REJECTION	1	0
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0	1
KEGG_ALZHEIMERS_DISEASE	1	0
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1	0
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1	0
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1	0
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	1	0
KEGG_APOPTOSIS	1	0
KEGG_ARACHIDONIC_ACID_METABOLISM	1	0
KEGG_ARGININE_AND_PROLINE_METABOLISM	1	0
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	0
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	1	0
KEGG_ASTHMA	1	0
KEGG_AUTOIMMUNE_THYROID_DISEASE	1	0
KEGG_AXON_GUIDANCE	1	0
KEGG_BASAL_CELL_CARCINOMA	1	0
KEGG_BASAL_TRANSCRIPTION_FACTORS	1	0
KEGG_BASE_EXCISION_REPAIR	1	0
KEGG_BETA_ALANINE_METABOLISM	1	0
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	1	0
KEGG_BLADDER_CANCER	1	0
KEGG_BUTANOATE_METABOLISM	1	0
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0
KEGG_CALCIUM_SIGNALING_PATHWAY	1	0
KEGG_CARDIAC_MUSCLE_CONTRACTION	1	0
KEGG_CELL_ADHESION_MOLECULES_CAMS	1	0
KEGG_CELL_CYCLE	1	0
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1	0
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0
KEGG_CIRCADIAN_RHYTHM_MAMMAL	1	0
KEGG_CITRATE_CYCLE_TCA_CYCLE	1	0
KEGG_COLORECTAL_CANCER	1	0
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	1	0
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1	0
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	1	0
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	1	0
KEGG_DILATED_CARDIOMYOPATHY	0	1
KEGG_DNA_REPLICATION	1	0
KEGG_DORSO_VENTRAL_AXIS_FORMATION	1	0
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	1	0
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	1	0
KEGG_ECM_RECEPTOR_INTERACTION	1	0
KEGG_ENDOCYTOSIS	1	0
KEGG_ENDOMETRIAL_CANCER	1	0
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1	0
KEGG_ERBB_SIGNALING_PATHWAY	1	0
KEGG_ETHER_LIPID_METABOLISM	1	0
KEGG_FATTY_ACID_METABOLISM	1	0
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1	0
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1	0
KEGG_FOCAL_ADHESION	1	0
KEGG_FOLATE_BIOSYNTHESIS	1	0
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	1	0
KEGG_GALACTOSE_METABOLISM	1	0
KEGG_GAP_JUNCTION	1	0
KEGG_GLIOMA	1	0
KEGG_GLUTATHIONE_METABOLISM	1	0
KEGG_GLYCEROLIPID_METABOLISM	1	0
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	1	0
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	1	0
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	1	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	1	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	1	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	1	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	1	0
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	1	0
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	1	0
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	1	0
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	1	0
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	1	0
KEGG_GNRH_SIGNALING_PATHWAY	1	0
KEGG_GRAFT_VERSUS_HOST_DISEASE	1	0
KEGG_HEDGEHOG_SIGNALING_PATHWAY	1	0
KEGG_HEMATOPOIETIC_CELL_LINEAGE	1	0
KEGG_HISTIDINE_METABOLISM	1	0
KEGG_HOMOLOGOUS_RECOMBINATION	1	0
KEGG_HUNTINGTONS_DISEASE	1	0
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0	1
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1	0
KEGG_INSULIN_SIGNALING_PATHWAY	1	0
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1	0
KEGG_JAK_STAT_SIGNALING_PATHWAY	1	0
KEGG_LEISHMANIA_INFECTION	1	0
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	0
KEGG_LIMONENE_AND_PINENE_DEGRADATION	1	0
KEGG_LINOLEIC_ACID_METABOLISM	0	1
KEGG_LONG_TERM_DEPRESSION	0	1
KEGG_LONG_TERM_POTENTIATION	1	0
KEGG_LYSINE_DEGRADATION	1	0
KEGG_LYSOSOME	1	0
KEGG_MAPK_SIGNALING_PATHWAY	1	0
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	0
KEGG_MELANOGENESIS	1	0
KEGG_MELANOMA	1	0
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	1	0
KEGG_MISMATCH_REPAIR	1	0
KEGG_MTOR_SIGNALING_PATHWAY	1	0
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1	0
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	1	0
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1	0
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	1	0
KEGG_NITROGEN_METABOLISM	1	0
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0
KEGG_NON_HOMOLOGOUS_END_JOINING	1	0
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0
KEGG_NOTCH_SIGNALING_PATHWAY	1	0
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1	0
KEGG_N_GLYCAN_BIOSYNTHESIS	1	0
KEGG_OLFACTORY_TRANSDUCTION	1	0
KEGG_ONE_CARBON_POOL_BY_FOLATE	1	0
KEGG_OOCYTE_MEIOSIS	1	0
KEGG_OTHER_GLYCAN_DEGRADATION	1	0
KEGG_OXIDATIVE_PHOSPHORYLATION	1	0
KEGG_O_GLYCAN_BIOSYNTHESIS	1	0
KEGG_P53_SIGNALING_PATHWAY	1	0
KEGG_PANCREATIC_CANCER	1	0
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	1	0
KEGG_PARKINSONS_DISEASE	1	0
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1	0
KEGG_PATHWAYS_IN_CANCER	1	0
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	1	0
KEGG_PENTOSE_PHOSPHATE_PATHWAY	1	0
KEGG_PEROXISOME	1	0
KEGG_PHENYLALANINE_METABOLISM	1	0
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	1	0
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	1	0
KEGG_PPAR_SIGNALING_PATHWAY	1	0
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	1	0
KEGG_PRIMARY_IMMUNODEFICIENCY	1	0
KEGG_PRION_DISEASES	1	0
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1	0
KEGG_PROPANOATE_METABOLISM	1	0
KEGG_PROSTATE_CANCER	1	0
KEGG_PROTEASOME	1	0
KEGG_PROTEIN_EXPORT	1	0
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	1	0
KEGG_PURINE_METABOLISM	1	0
KEGG_PYRIMIDINE_METABOLISM	1	0
KEGG_PYRUVATE_METABOLISM	1	0
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1	0
KEGG_REGULATION_OF_AUTOPHAGY	1	0
KEGG_RENAL_CELL_CARCINOMA	1	0
KEGG_RENIN_ANGIOTENSIN_SYSTEM	1	0
KEGG_RETINOL_METABOLISM	1	0
KEGG_RIBOFLAVIN_METABOLISM	1	0
KEGG_RIBOSOME	1	0
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0
KEGG_RNA_DEGRADATION	1	0
KEGG_RNA_POLYMERASE	1	0
KEGG_SELENOAMINO_ACID_METABOLISM	1	0
KEGG_SMALL_CELL_LUNG_CANCER	1	0
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1	0
KEGG_SPHINGOLIPID_METABOLISM	0	1
KEGG_SPLICEOSOME	1	0
KEGG_STARCH_AND_SUCROSE_METABOLISM	1	0
KEGG_STEROID_BIOSYNTHESIS	1	0
KEGG_STEROID_HORMONE_BIOSYNTHESIS	1	0
KEGG_SULFUR_METABOLISM	1	0
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	1	0
KEGG_TASTE_TRANSDUCTION	1	0
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	1	0
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	0	1
KEGG_TGF_BETA_SIGNALING_PATHWAY	0	1
KEGG_THYROID_CANCER	1	0
KEGG_TIGHT_JUNCTION	1	0
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0
KEGG_TRYPTOPHAN_METABOLISM	1	0
KEGG_TYPE_II_DIABETES_MELLITUS	1	0
KEGG_TYPE_I_DIABETES_MELLITUS	1	0
KEGG_TYROSINE_METABOLISM	1	0
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1	0
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	1	0
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1	0
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	1	0
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1	0
KEGG_VEGF_SIGNALING_PATHWAY	0	1
KEGG_VIBRIO_CHOLERAE_INFECTION	1	0
KEGG_VIRAL_MYOCARDITIS	1	0
KEGG_WNT_SIGNALING_PATHWAY	1	0
KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV	1	0
KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM	1	0
KEGG_MEDICUS_ENV_FACTOR_BPA_TO_RAS_ERK_SIGNALING_PATHWAY	1	0
KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS	1	0
KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY	1	0
KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY	1	0
KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT	1	0
KEGG_MEDICUS_ENV_FACTOR_METALS_TO_JNK_SIGNALING_PATHWAY	1	0
KEGG_MEDICUS_ENV_FACTOR_METALS_TO_KEAP1_NRF2_SIGNALIG_PATHWAY	1	0
