drug	canonical_pathway	perm_pvalue_adj
atorvastatin	WP_OSTEOBLAST_DIFFERENTIATION_AND_RELATED_DISEASES	1
atorvastatin	WP_WNT_SIGNALING_IN_KIDNEY_DISEASE	0.67
atorvastatin	WP_WNT_SIGNALING_PATHWAY_AND_PLURIPOTENCY	0.5
simvastatin	BIOCARTA_CHREBP_PATHWAY	0.057
simvastatin	KEGG_BASAL_CELL_CARCINOMA	0.336
simvastatin	KEGG_MELANOGENESIS	0.912
simvastatin	KEGG_PATHWAYS_IN_CANCER	0.186
simvastatin	KEGG_MEDICUS_REFERENCE_WNT5A_ROR_SIGNALING_PATHWAY	0.927
simvastatin	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_SOST_LRP4	0.846
simvastatin	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_PATHWAY	0.387
simvastatin	KEGG_MEDICUS_VARIANT_LRP6_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY	0.381
simvastatin	REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY	0.042
simvastatin	REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION	0.048
simvastatin	REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	0.345
simvastatin	REACTOME_PP2A_MEDIATED_DEPHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	0.609
simvastatin	WP_7Q11_23_COPY_NUMBER_VARIATION_SYNDROME	0.021
simvastatin	WP_BREAST_CANCER_PATHWAY	0.843
simvastatin	WP_EMBRYONIC_STEM_CELL_PLURIPOTENCY_PATHWAYS	0.756
simvastatin	WP_FOXA2_PATHWAY	0.054
simvastatin	WP_OSTEOBLAST_DIFFERENTIATION_AND_RELATED_DISEASES	0.828
simvastatin	WP_WNT_SIGNALING_IN_KIDNEY_DISEASE	0.678
simvastatin	WP_WNT_SIGNALING_PATHWAY_AND_PLURIPOTENCY	0.393
rosuvastatin	BIOCARTA_CHREBP_PATHWAY	0.038
rosuvastatin	KEGG_BASAL_CELL_CARCINOMA	0.858
rosuvastatin	KEGG_MELANOGENESIS	0.608
rosuvastatin	KEGG_PATHWAYS_IN_CANCER	0.328
rosuvastatin	KEGG_MEDICUS_REFERENCE_WNT5A_ROR_SIGNALING_PATHWAY	0.618
rosuvastatin	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_SOST_LRP4	0.564
rosuvastatin	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_PATHWAY	0.738
rosuvastatin	KEGG_MEDICUS_VARIANT_LRP6_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY	0.734
rosuvastatin	REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY	0.028
rosuvastatin	REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION	0.032
rosuvastatin	REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	0.23
rosuvastatin	REACTOME_PP2A_MEDIATED_DEPHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	0.406
rosuvastatin	WP_7Q11_23_COPY_NUMBER_VARIATION_SYNDROME	0.252
rosuvastatin	WP_BREAST_CANCER_PATHWAY	0.702
rosuvastatin	WP_EMBRYONIC_STEM_CELL_PLURIPOTENCY_PATHWAYS	0.504
rosuvastatin	WP_FOXA2_PATHWAY	0.036
rosuvastatin	WP_OSTEOBLAST_DIFFERENTIATION_AND_RELATED_DISEASES	0.552
rosuvastatin	WP_WNT_SIGNALING_IN_KIDNEY_DISEASE	0.452
rosuvastatin	WP_WNT_SIGNALING_PATHWAY_AND_PLURIPOTENCY	0.424
niacin	BIOCARTA_CHREBP_PATHWAY	1
niacin	KEGG_BASAL_CELL_CARCINOMA	1
niacin	KEGG_MELANOGENESIS	1
niacin	KEGG_PATHWAYS_IN_CANCER	1
niacin	KEGG_MEDICUS_REFERENCE_WNT5A_ROR_SIGNALING_PATHWAY	1
niacin	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_SOST_LRP4	1
niacin	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_PATHWAY	1
niacin	KEGG_MEDICUS_VARIANT_LRP6_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY	1
niacin	REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY	0.388
niacin	REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION	0.4
niacin	REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	1
niacin	REACTOME_PP2A_MEDIATED_DEPHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	1
niacin	WP_7Q11_23_COPY_NUMBER_VARIATION_SYNDROME	0.884
niacin	WP_BREAST_CANCER_PATHWAY	0.788
niacin	WP_EMBRYONIC_STEM_CELL_PLURIPOTENCY_PATHWAYS	0.852
niacin	WP_FOXA2_PATHWAY	0.528
niacin	WP_OSTEOBLAST_DIFFERENTIATION_AND_RELATED_DISEASES	1
niacin	WP_WNT_SIGNALING_IN_KIDNEY_DISEASE	1
niacin	WP_WNT_SIGNALING_PATHWAY_AND_PLURIPOTENCY	1
