drug	canonical_pathway	perm_pvalue_adj
darolutamide	KEGG_MEDICUS_PATHOGEN_KSHV_VCYCLIN_TO_CELL_CYCLE_G1_S	0.11
darolutamide	KEGG_MEDICUS_PATHOGEN_SALMONELLA_AVRA_TO_BETA_CATENIN_SIGNALING_PATHWAY	0.144
darolutamide	KEGG_MEDICUS_REFERENCE_AREG_EGFR_PI3K_SIGNALING_PATHWAY	0.098
darolutamide	KEGG_MEDICUS_REFERENCE_CD80_CD86_CD28_PI3K_SIGNALING_PATHWAY	0.166
darolutamide	KEGG_MEDICUS_REFERENCE_CD80_CD86_CTLA4_PP2A_SIGNALING_PATHWAY	0.466
darolutamide	KEGG_MEDICUS_REFERENCE_CHONDROITIN_SULFATE_BIOSYNTHESIS	0.764
darolutamide	KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_ANAPHASE	0.566
darolutamide	KEGG_MEDICUS_REFERENCE_COHESIN_LOADING	0.26
darolutamide	KEGG_MEDICUS_REFERENCE_DISASSEMBLY_OF_MCC	0.588
darolutamide	KEGG_MEDICUS_REFERENCE_DNA_DEGRADATION_BY_EXTRACELLULAR_ENDOLYSOSOMAL_DNASE	0.376
darolutamide	KEGG_MEDICUS_REFERENCE_DYNEIN_RECRUITMENT_TO_THE_KINETOCHORE	0.024
darolutamide	KEGG_MEDICUS_REFERENCE_EREG_EGFR_PI3K_SIGNALING_PATHWAY	0.096
darolutamide	KEGG_MEDICUS_REFERENCE_ESTABLISHMENT_OF_COHESION	0.478
darolutamide	KEGG_MEDICUS_REFERENCE_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_LINKAGE_TETRASACCHARIDE	0.746
darolutamide	KEGG_MEDICUS_REFERENCE_HEPARAN_SULFATE_BIOSYNTHESIS	0.708
darolutamide	KEGG_MEDICUS_REFERENCE_HGF_MET_PI3K_SIGNALING_PATHWAY	0.152
darolutamide	KEGG_MEDICUS_REFERENCE_IGF2_IGF1R_PI3K_SIGNALING_PATHWAY	0.134
darolutamide	KEGG_MEDICUS_REFERENCE_IGF_IGF1R_PI3K_SIGNALING_PATHWAY	0.142
darolutamide	KEGG_MEDICUS_REFERENCE_KITLG_KIT_PI3K_SIGNALING_PATHWAY	0.14
darolutamide	KEGG_MEDICUS_REFERENCE_MDM2_P21_CELL_CYCLE_G1_S_N00066	0.112
darolutamide	KEGG_MEDICUS_REFERENCE_NRG_ERBB4_PI3K_SIGNALING_PATHWAY	0.068
darolutamide	KEGG_MEDICUS_REFERENCE_P16_CELL_CYCLE_G1_S	0.108
darolutamide	KEGG_MEDICUS_REFERENCE_P300_P21_CELL_CYCLE_G1_S	0.192
darolutamide	KEGG_MEDICUS_REFERENCE_P4_PR_PI3K_SIGNALING_PATHWAY	0
darolutamide	KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PI3K_SIGNALING_PATHWAY	0.154
darolutamide	KEGG_MEDICUS_REFERENCE_PP2A_AKT_SIGNALING_PATHWAY	0.342
darolutamide	KEGG_MEDICUS_REFERENCE_RECRUITMENT_AND_FORMATION_OF_THE_MCC	0.488
darolutamide	KEGG_MEDICUS_REFERENCE_RELN_VLDLR_PI3K_SIGNALING_PATHWAY	0.136
darolutamide	KEGG_MEDICUS_REFERENCE_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING	0.584
darolutamide	KEGG_MEDICUS_REFERENCE_TGFA_EGFR_PI3K_SIGNALING_PATHWAY	0.088
darolutamide	KEGG_MEDICUS_VARIANT_AMPLIFIED_CCND1_TO_CELL_CYCLE_G1_S	0.078
darolutamide	KEGG_MEDICUS_VARIANT_AMPLIFIED_CDK4_TO_CELL_CYCLE_G1_S	0.084
darolutamide	KEGG_MEDICUS_VARIANT_AMPLIFIED_EGFR_TO_PI3K_SIGNALING_PATHWAY	0.088
darolutamide	KEGG_MEDICUS_VARIANT_AMPLIFIED_FGFR_TO_PI3K_SIGNALING_PATHWAY	0.132
darolutamide	KEGG_MEDICUS_VARIANT_AMPLIFIED_MDM2_TO_P21_CELL_CYCLE_G1_S	0.106
darolutamide	KEGG_MEDICUS_VARIANT_AMPLIFIED_MET_TO_PI3K_SIGNALING_PATHWAY	0.13
darolutamide	KEGG_MEDICUS_VARIANT_AMPLIFIED_MYC_TO_CELL_CYCLE_G1_S	0.098
darolutamide	KEGG_MEDICUS_VARIANT_AMPLIFIED_MYC_TO_P15_CELL_CYCLE_G1_S	0.098
darolutamide	KEGG_MEDICUS_VARIANT_AMPLIFIED_PDGFR_TO_PI3K_SIGNALING_PATHWAY	0.118
darolutamide	KEGG_MEDICUS_VARIANT_AREG_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY	0.09
darolutamide	KEGG_MEDICUS_VARIANT_BCR_ABL_FUSION_KINASE_TO_PI3K_SIGNALING_PATHWAY	0.16
darolutamide	KEGG_MEDICUS_VARIANT_CDH1_REDUCED_EXPRESSION_TO_BETA_CATENIN_SIGNALING_PATHWAY	0.146
darolutamide	KEGG_MEDICUS_VARIANT_DAB1_OVEREXPRESSION_TO_RELN_VLDLR_PI3K_SIGNALING_PATHWAY	0.092
darolutamide	KEGG_MEDICUS_VARIANT_EGFR_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY	0.096
darolutamide	KEGG_MEDICUS_VARIANT_EML4_ALK_FUSION_KINASE_TO_PI3K_SIGNALING_PATHWAY	0.092
darolutamide	KEGG_MEDICUS_VARIANT_EREG_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY	0.092
darolutamide	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_EGFR_TO_PI3K_SIGNALING_PATHWAY	0.078
darolutamide	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KIT_TO_PI3K_SIGNALING_PATHWAY	0.112
darolutamide	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KRAS_NRAS_TO_PI3K_SIGNALING_PATHWAY	0.15
darolutamide	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_MET_TO_PI3K_SIGNALING_PATHWAY	0.116
darolutamide	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_PI3K_TO_PI3K_SIGNALING_PATHWAY	0.248
darolutamide	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_RET_TO_PI3K_SIGNALING_PATHWAY	0.112
darolutamide	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_APC_TO_WNT_SIGNALING_PATHWAY	0.144
darolutamide	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_AXIN_TO_WNT_SIGNALING_PATHWAY	0.132
darolutamide	KEGG_MEDICUS_VARIANT_TGFA_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY	0.08
darolutamide	PID_AR_PATHWAY	0
darolutamide	PID_CASPASE_PATHWAY	0.54
darolutamide	PID_HDAC_CLASSI_PATHWAY	0.186
darolutamide	PID_HIV_NEF_PATHWAY	0.36
darolutamide	PID_HNF3A_PATHWAY	0.004
darolutamide	PID_SMAD2_3PATHWAY	0.12
darolutamide	PID_SYNDECAN_3_PATHWAY	0.346
darolutamide	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.144
darolutamide	REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.292
darolutamide	REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG	0.352
darolutamide	REACTOME_ACYL_CHAIN_REMODELLING_OF_PI	0.508
darolutamide	REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL	0.196
darolutamide	REACTOME_APOPTOSIS	0.286
darolutamide	REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	0.12
darolutamide	REACTOME_APOPTOTIC_EXECUTION_PHASE	0.424
darolutamide	REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	0.688
darolutamide	REACTOME_BINDING_OF_TCF_LEF_CTNNB1_TO_TARGET_GENE_PROMOTERS	0.152
darolutamide	REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS	0.192
darolutamide	REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	0.648
darolutamide	REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	0.706
darolutamide	REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT	0.682
darolutamide	REACTOME_COHESIN_LOADING_ONTO_CHROMATIN	0.402
darolutamide	REACTOME_CS_DS_DEGRADATION	0.71
darolutamide	REACTOME_CTLA4_INHIBITORY_SIGNALING	0.476
darolutamide	REACTOME_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1	0.4
darolutamide	REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY	0.82
darolutamide	REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE	0.672
darolutamide	REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE	0.616
darolutamide	REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD	0.614
darolutamide	REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS	0.614
darolutamide	REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	0.66
darolutamide	REACTOME_DEFECTIVE_F9_ACTIVATION	0.542
darolutamide	REACTOME_DEFECTIVE_FACTOR_IX_CAUSES_HEMOPHILIA_B	0.56
darolutamide	REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS	0.618
darolutamide	REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM	0.68
darolutamide	REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE	0.304
darolutamide	REACTOME_DRUG_MEDIATED_INHIBITION_OF_CDK4_CDK6_ACTIVITY	0.078
darolutamide	REACTOME_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION	0.45
darolutamide	REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING	0.132
darolutamide	REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES	0.142
darolutamide	REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	0.738
darolutamide	REACTOME_GP1B_IX_V_ACTIVATION_SIGNALLING	0.262
darolutamide	REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	0.74
darolutamide	REACTOME_HS_GAG_BIOSYNTHESIS	0.674
darolutamide	REACTOME_HS_GAG_DEGRADATION	0.746
darolutamide	REACTOME_LINOLEIC_ACID_LA_METABOLISM	0.306
darolutamide	REACTOME_LIPID_PARTICLE_ORGANIZATION	0.442
darolutamide	REACTOME_METABOLISM_OF_CARBOHYDRATES	0.53
darolutamide	REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	0.56
darolutamide	REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS	0.47
darolutamide	REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE	0.652
darolutamide	REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING	0.686
darolutamide	REACTOME_NFE2L2_REGULATES_PENTOSE_PHOSPHATE_PATHWAY_GENES	0.218
darolutamide	REACTOME_ORGANIC_ANION_TRANSPORT	0.442
darolutamide	REACTOME_P75NTR_NEGATIVELY_REGULATES_CELL_CYCLE_VIA_SC1	0.172
darolutamide	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	0.294
darolutamide	REACTOME_PROGRAMMED_CELL_DEATH	0.278
darolutamide	REACTOME_PTK6_REGULATES_CELL_CYCLE	0.104
darolutamide	REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN	0.266
darolutamide	REACTOME_REGULATION_OF_SIGNALING_BY_NODAL	0.286
darolutamide	REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ACETYLATION	0.268
darolutamide	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION	0.43
darolutamide	REACTOME_RUNX2_REGULATES_GENES_INVOLVED_IN_CELL_MIGRATION	0.16
darolutamide	REACTOME_RUNX3_REGULATES_CDKN1A_TRANSCRIPTION	0.168
darolutamide	REACTOME_RUNX3_REGULATES_P14_ARF	0.154
darolutamide	REACTOME_RUNX3_REGULATES_WNT_SIGNALING	0.15
darolutamide	REACTOME_SARS_COV_2_TARGETS_HOST_INTRACELLULAR_SIGNALLING_AND_REGULATORY_PATHWAYS	0.25
darolutamide	REACTOME_SENSORY_PERCEPTION	0.406
darolutamide	REACTOME_SENSORY_PROCESSING_OF_SOUND	0.132
darolutamide	REACTOME_SENSORY_PROCESSING_OF_SOUND_BY_OUTER_HAIR_CELLS_OF_THE_COCHLEA	0.3
darolutamide	REACTOME_SEROTONIN_RECEPTORS	0.516
darolutamide	REACTOME_SIGNALING_BY_NODAL	0.134
darolutamide	REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	0.322
darolutamide	REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_FACTORS	0.092
darolutamide	REACTOME_TRISTETRAPROLIN_TTP_ZFP36_BINDS_AND_DESTABILIZES_MRNA	0.758
darolutamide	REACTOME_ZINC_EFFLUX_AND_COMPARTMENTALIZATION_BY_THE_SLC30_FAMILY	0.504
darolutamide	WP_22Q11_2_COPY_NUMBER_VARIATION_SYNDROME	0.424
darolutamide	WP_ACUTE_VIRAL_MYOCARDITIS	0.4
darolutamide	WP_AMPLIFICATION_AND_EXPANSION_OF_ONCOGENIC_PATHWAYS_AS_METASTATIC_TRAITS	0.39
darolutamide	WP_APOPTOSIS	0.276
darolutamide	WP_CELL_CYCLE	0.4
darolutamide	WP_COHESIN_COMPLEX_CORNELIA_DE_LANGE_SYNDROME	0.514
darolutamide	WP_FAS_LIGAND_PATHWAY_AND_STRESS_INDUCTION_OF_HEAT_SHOCK_PROTEINS	0.264
darolutamide	WP_G1_TO_S_CELL_CYCLE_CONTROL	0.338
darolutamide	WP_GLIOBLASTOMA_SIGNALING_PATHWAYS	0.136
darolutamide	WP_GLYCOSAMINOGLYCAN_SYNTHESIS_IN_FIBROBLASTS	0.758
darolutamide	WP_GROWTH_FACTORS_AND_HORMONES_IN_BETA_CELL_PROLIFERATION	0.12
darolutamide	WP_INTEGRATED_CANCER_PATHWAY	0.302
darolutamide	WP_INTERACTOME_OF_POLYCOMB_REPRESSIVE_COMPLEX_2_PRC2	0.252
darolutamide	WP_INVOLVEMENT_OF_SECRETASE_IN_NEURODEGENERATIVE_DISEASES	0.422
darolutamide	WP_MAMMARY_GLAND_DEVELOPMENT_PATHWAY_PUBERTY_STAGE_2_OF_4	0
darolutamide	WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER	0.458
darolutamide	WP_METASTATIC_BRAIN_TUMOR	0.074
darolutamide	WP_MIRNAS_INVOLVED_IN_DNA_DAMAGE_RESPONSE	0.19
darolutamide	WP_MIRNA_REGULATION_OF_PROSTATE_CANCER_SIGNALING_PATHWAYS	0.012
darolutamide	WP_MRNA_PROCESSING	0.462
darolutamide	WP_PEROXIREDOXIN_2_INDUCED_OVARIAN_FAILURE	0.074
darolutamide	WP_PROTEOGLYCAN_BIOSYNTHESIS	0.868
darolutamide	WP_REGULATION_OF_SISTER_CHROMATID_SEPARATION_AT_THE_METAPHASE_ANAPHASE_TRANSITION	0.52
darolutamide	WP_RELATIONSHIP_BETWEEN_INFLAMMATION_COX_2_AND_EGFR	0.092
darolutamide	WP_SMALL_CELL_LUNG_CANCER	0.196
darolutamide	WP_SMC1_SMC3_ROLE_IN_DNA_DAMAGE_CORNELIA_DE_LANGE_SYNDROME	0.338
darolutamide	WP_TGF_SMAD_SIGNALING_PATHWAY	0.138
darolutamide	WP_TRANSCRIPTION_FACTORS_REGULATE_MIRNAS_RELATED_TO_CARDIAC_HYPERTROPHY	0.316
darolutamide	WP_TROP2_REGULATORY_SIGNALING	0.286
darolutamide	WP_VITAMIN_D_RECEPTOR_PATHWAY	0.266
apalutamide	SA_CASPASE_CASCADE	1
apalutamide	SA_G1_AND_S_PHASES	1
apalutamide	SA_REG_CASCADE_OF_CYCLIN_EXPR	1
apalutamide	BIOCARTA_ARF_PATHWAY	1
apalutamide	BIOCARTA_BCELLSURVIVAL_PATHWAY	1
apalutamide	BIOCARTA_CASPASE_PATHWAY	1
apalutamide	BIOCARTA_CELLCYCLE_PATHWAY	1
apalutamide	BIOCARTA_CTCF_PATHWAY	1
apalutamide	BIOCARTA_D4GDI_PATHWAY	1
apalutamide	BIOCARTA_DEATH_PATHWAY	1
apalutamide	BIOCARTA_DNAFRAGMENT_PATHWAY	1
apalutamide	BIOCARTA_FAS_PATHWAY	1
apalutamide	BIOCARTA_G1_PATHWAY	1
apalutamide	BIOCARTA_HIVNEF_PATHWAY	1
apalutamide	BIOCARTA_RACCYCD_PATHWAY	1
apalutamide	BIOCARTA_SET_PATHWAY	1
apalutamide	BIOCARTA_TNFR1_PATHWAY	1
apalutamide	KEGG_CELL_CYCLE	1
apalutamide	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	1
apalutamide	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	1
apalutamide	KEGG_PATHWAYS_IN_CANCER	0.833
apalutamide	KEGG_PROSTATE_CANCER	0.221
apalutamide	KEGG_RNA_DEGRADATION	1
apalutamide	KEGG_SMALL_CELL_LUNG_CANCER	1
apalutamide	KEGG_SULFUR_METABOLISM	0.527
apalutamide	KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_PI3K_SIGNALING_PATHWAY_N01350	1
apalutamide	KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_CELL_CYCLE_G1_S	0.867
apalutamide	KEGG_MEDICUS_PATHOGEN_HCV_CORE_TO_RXRA_LXRA_MEDIATED_TRANSCRIPTION	1
apalutamide	KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING	1
apalutamide	KEGG_MEDICUS_PATHOGEN_KSHV_LANA_TO_WNT_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_PATHOGEN_KSHV_VCYCLIN_TO_CELL_CYCLE_G1_S	1
apalutamide	KEGG_MEDICUS_PATHOGEN_SALMONELLA_AVRA_TO_BETA_CATENIN_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_REFERENCE_AREG_EGFR_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_REFERENCE_CD80_CD86_CD28_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_REFERENCE_CD80_CD86_CTLA4_PP2A_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_REFERENCE_CHONDROITIN_SULFATE_BIOSYNTHESIS	1
apalutamide	KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_ANAPHASE	1
apalutamide	KEGG_MEDICUS_REFERENCE_COHESIN_LOADING	1
apalutamide	KEGG_MEDICUS_REFERENCE_DISASSEMBLY_OF_MCC	1
apalutamide	KEGG_MEDICUS_REFERENCE_DNA_DEGRADATION_BY_EXTRACELLULAR_ENDOLYSOSOMAL_DNASE	1
apalutamide	KEGG_MEDICUS_REFERENCE_DYNEIN_RECRUITMENT_TO_THE_KINETOCHORE	0.459
apalutamide	KEGG_MEDICUS_REFERENCE_EREG_EGFR_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_REFERENCE_ESTABLISHMENT_OF_COHESION	1
apalutamide	KEGG_MEDICUS_REFERENCE_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_LINKAGE_TETRASACCHARIDE	1
apalutamide	KEGG_MEDICUS_REFERENCE_HEPARAN_SULFATE_BIOSYNTHESIS	1
apalutamide	KEGG_MEDICUS_REFERENCE_HGF_MET_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_REFERENCE_IGF2_IGF1R_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_REFERENCE_IGF_IGF1R_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_REFERENCE_KITLG_KIT_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_REFERENCE_MDM2_P21_CELL_CYCLE_G1_S_N00066	1
apalutamide	KEGG_MEDICUS_REFERENCE_NRG_ERBB4_PI3K_SIGNALING_PATHWAY	0.017
apalutamide	KEGG_MEDICUS_REFERENCE_P16_CELL_CYCLE_G1_S	0.918
apalutamide	KEGG_MEDICUS_REFERENCE_P300_P21_CELL_CYCLE_G1_S	1
apalutamide	KEGG_MEDICUS_REFERENCE_P4_PR_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_REFERENCE_PP2A_AKT_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_REFERENCE_RECRUITMENT_AND_FORMATION_OF_THE_MCC	1
apalutamide	KEGG_MEDICUS_REFERENCE_RELN_VLDLR_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_REFERENCE_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING	1
apalutamide	KEGG_MEDICUS_REFERENCE_TGFA_EGFR_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_VARIANT_AMPLIFIED_CCND1_TO_CELL_CYCLE_G1_S	1
apalutamide	KEGG_MEDICUS_VARIANT_AMPLIFIED_CDK4_TO_CELL_CYCLE_G1_S	1
apalutamide	KEGG_MEDICUS_VARIANT_AMPLIFIED_EGFR_TO_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_VARIANT_AMPLIFIED_FGFR_TO_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_VARIANT_AMPLIFIED_MDM2_TO_P21_CELL_CYCLE_G1_S	0.935
apalutamide	KEGG_MEDICUS_VARIANT_AMPLIFIED_MET_TO_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_VARIANT_AMPLIFIED_MYC_TO_CELL_CYCLE_G1_S	0.918
apalutamide	KEGG_MEDICUS_VARIANT_AMPLIFIED_MYC_TO_P15_CELL_CYCLE_G1_S	0.901
apalutamide	KEGG_MEDICUS_VARIANT_AMPLIFIED_PDGFR_TO_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_VARIANT_AREG_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_VARIANT_BCR_ABL_FUSION_KINASE_TO_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_VARIANT_CDH1_REDUCED_EXPRESSION_TO_BETA_CATENIN_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_VARIANT_DAB1_OVEREXPRESSION_TO_RELN_VLDLR_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_VARIANT_EGFR_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_VARIANT_EML4_ALK_FUSION_KINASE_TO_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_VARIANT_EREG_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_EGFR_TO_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KIT_TO_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KRAS_NRAS_TO_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_MET_TO_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_PI3K_TO_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_RET_TO_PI3K_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_APC_TO_WNT_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_AXIN_TO_WNT_SIGNALING_PATHWAY	1
apalutamide	KEGG_MEDICUS_VARIANT_TGFA_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY	1
apalutamide	PID_AR_PATHWAY	0
apalutamide	PID_CASPASE_PATHWAY	1
apalutamide	PID_HDAC_CLASSI_PATHWAY	1
apalutamide	PID_HIV_NEF_PATHWAY	1
apalutamide	PID_HNF3A_PATHWAY	0.034
apalutamide	PID_SMAD2_3PATHWAY	1
apalutamide	PID_SYNDECAN_3_PATHWAY	1
